,Name,Phone Number,Address,Img_link,latitude,longitude
1,L'Accueil D'Amos,819-727-1984,"401, 1re Rue Ouest, Amos, Qc, J9T 2M3",http://www.arrondissement.com/userImgs/directory/logos/260x140/57106.png,48.570127,-78.11887399999999
2,Cafée Les Transformeurs,819-762-8161,"230, Avenue Marcel Baril, Rouyn-Noranda, Québec, J9X 7C1",No Image Found,0.0,0.0
3,Centre De Bénévolat De La Vallée-De-L’Or,819-825-0154,"300, chemin de la Gare, Val-d’Or, Qc, J9P 4P8, C. P. 776",http://www.arrondissement.com/userImgs/directory/logos/260x140/57525.png,48.1081231,-77.7761026
4,Centre De Bénévolat Lac-Témiscamingue,819-629-3124,"721-A, Route 101 Nord, Duhamel-Ouest, Qc, J9V 2E2",No Image Found,47.3391949,-79.42690910000002
5,Centre Des Bénévoles Uni-Joie,819-734-6652,"Case postale 23, Barraute, Qc, J0Y 1A0",No Image Found,53.849408,-74.89996889999999
6,Corporation Du Développement Communautaire Universeau,819-737-4201,"120, 2e Rue Est, Senneterre, Qc, J0Y 2M0, C. P. 908",http://www.arrondissement.com/userImgs/directory/logos/260x140/57675.png,48.3931963,-77.230357
7,Fraternite St-Michel,819-764-9224,"50, rue Cardinal Bégin Est, Rouyn-Noranda, Qc, J9X 3G8",No Image Found,48.2365825,-79.0185193
8,Maison St-André Abitibi-Ouest,819-333-1133,"101, rue Principale, La Sarre, Qc, J9Z 3H8, C. P. 342",No Image Found,48.810169,-79.204798
9,Popote Roulante D’Amos,819-727-9272,"361, 5e Avenue Est, Amos, Qc, J9T 1C2",No Image Found,48.58691,-78.0947939
10,Popote Roulante De Val-D’Or,819-824-8272,"Case postale 38, Val-d’Or, Qc, J9P 4N9",No Image Found,48.1309299,-77.7639549
11,Ressourcerie Bernard-Hamel,819-797-2245,"255, 9e Rue, Rouyn-Noranda, Qc, J9X 2C3",http://www.arrondissement.com/userImgs/directory/logos/260x140/57229.png,48.2501367,-79.01885759999999
